id,geom,n,smiles,refcodes
SP123,SP,2,C[As:1](C)c1ccccc1[As:1](C)C,DCARPT;DCARPT
SP124,SP,2,O=C(C1CC([O-])C[NH:1]1)[O-:1],DENVOH;DENVOH
SP125,SP,2,C[S:1]CCC(C(=O)[O-])[NH2:1],DEQTUP
SP126,SP,2,C[Se:1]CCC(C(=O)[O-])[NH2:1],DEQVAX
SP127,SP,4,Cc1cc(C)[n:1]n1CC[S:1]CC[S:1]CCn1c(C)cc(C)[n:1]1,DEYLEZ
SP128,SP,4,Cc1cc(C)[n:1]n1CC[S:1]CCC[S:1]CCn1c(C)cc(C)[n:1]1,DEYLID;IYUZUX;VITLEQ
SP129,SP,2,O=P(CC[P:1](CCP(=O)(c1ccccc1)c1ccccc1)CC[P:1](c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,DIHNOZ;DIHNOZ;KARVUW;KARVUW;SOFXIV;SOFXIV
SP130,SP,2,COc1ccccc1[P:1](CN(C)C[P:1](c1ccccc1OC)c1ccccc1OC)c1ccccc1OC,DIXHEA;DIXHEA
SP131,SP,2,c1ccc(C(c2cccc[n:1]2)c2cccc[n:1]2)nc1,DIZHID;DIZHID
SP132,SP,2,c1cnn(C(n2ccc[n:1]2)n2ccc[n:1]2)c1,DIZHOJ;DIZHOJ;UMOBON;UMOBON
SP133,SP,2,c1cc[n:1]c(C[N+]2([O-:1])CCCC2)c1,DOCSEV;DOCSEV
SP134,SP,4,C1C[S:1]CC[S:1]CCSCC[S:1]CC[S:1]CCS1,DOFSAS;DOFSEW
SP135,SP,2,O=C(C(=O)[O-:1])[O-:1],DOGCAD;DOGCAD;DOGCIL;DOGCIL;OJEVEE;OJEVEE;YAZMUH;YAZMUH
SP136,SP,2,CC[P:1](CC)CC[P:1](CC)CC,DOTXOA;DOTXOA;RAWRAJ;RAWRAJ
SP137,SP,4,CC1(C)C2CCC(C(C)(C)C3CCC(C(C)(C)C4CCC(C(C)(C)C5CCC1[NH:1]5)[NH:1]4)[NH:1]3)[NH:1]2,DOVZEU;DOVZOE
SP138,SP,3,CC(C)N(C(C)C)[P:1](CC[P:1](c1ccccc1)c1ccccc1)CC[P:1](c1ccccc1)c1ccccc1,DURTER
SP139,SP,3,CC[P:1](CC)CC[P:1](CC[P:1](CC)CC)N(C(C)C)C(C)C,DURTOB
SP140,SP,4,c1cc2ccc3ccc4[n:1]c3c2[n:1]c1C[S:1]CCOCC[S:1]C4,EBOLOW;EBOLUC
SP141,SP,2,C[NH:1]c1ccccc1[NH2:1],ECEVAJ;ECEVAJ;ECEVAJ01;ECEVAJ01
SP142,SP,2,Cc1cccc(C)c1[N-:1]C(=O)C(=O)[O-:1],EGAGUQ;EGAGUQ
SP143,SP,2,Cc1cc(C)c(N2C=C[N+](P(C(C)(C)C)(C(C)(C)C)=[O:1])=[C-:1]2)c(C)c1,EGIZIG;EGIZIG;EGIZUS
SP144,SP,2,CCCCN1C=C[N+](Cc2cccc3ccc[n:1]c23)=[C-:1]1,EGOGOX;EGOGOX
